Riferimento,Versione,Predeterminato,Tipo,EAN13,Famiglia,Catalogo,"Tariffa Nazionale",Garanzia,"Etichetta V/F","Foglio dati",Descrizione,masterfile.tender_text,masterfile.codi_duaner,Materiale,Finit,Lungo,Ampiezza,Altezza,Proiezione,"Fonte di luce","Includi una lampadina","Efficienza energetica","Unità masterbox","Prodotto fuori catalogo","Lancio del prodotto","Pesce confezionato (kg)","Weight master box","Peso netto (Kg)","Unità di volume (m3)","Volume Master box (m3)","Length Box 1","Larghezza della scatola 1","Altezza scatola 1","Length Box 2","Larghezza della scatola 2","Altezza scatola 2","Length Box 3","Larghezza della scatola 3","Altezza scatola 3","Length MB 1","Ampiezza MB 1","Altezza MB 1","Length MB 2","Ampiezza MB 2","Altezza MB 2","Length MB 3","Ampiezza MB 3","Altezza MB 3","Watt (W)","Lumen (lm)","Real Lumens (lm)","Temperatura colore LED (K)",CRI,"Fascio di luce","Regolazione dei tipi",IP,IK,"Immagine Web","Immagine d'ambiente 1","Immagine d'ambiente 2","Immagine d'ambiente 3","Immagine di dettaglio 1","Immagine di dettaglio 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Accessori,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Codi RETILAP","Marocco Codice","Codice Paese 4","Codice Paese 5","Codice Paese 6",Modello
05-A009-AH-M1,V0,Sì,"Superficie a parete",8445386367040,Bend,Decorative,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/05-A009-AH-M1.html,"SUPERFICIE A PARETE BEND LED 10W 3000K ON-OFF ARGENTO 239LM","LedsC4 Bend 05-A009-AH-M1  Superficie a parete per uso interno per illuminare verso l&#039;alto e verso il basso  Materiale della struttura: Alluminio, Alluminio. Finitura struttura: Argento. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente, Opaco. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.51 Lunghezza del prodotto (mm): 220 Larghezza o diametro del prodotto (mm): 91 Fuoriuscita del prodotto: 76  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Potenza massima della sorgente luminosa: 9W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 11.0. Rischio fotobiologico: RG2. % de Flickering: +/- 5%. Flusso reale (lm): 239. Flusso nominale (lm): 766. Lm/W reali: 24. Intervallo di tensione / frequenza: 220-240V, 50/60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 10. Fattore di potenza: 0.50. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Alluminio, PMMA","Argento, Trasparente, Opaco",220,91,,76,"1xLED 9 766 lm",Sì,F,20,"Descatalogado IT",2023,"0,67","13,4","0,51","0,003","0,06",230,80,132,,,,,,,,,,,,,,,,10,766,239,3000K,80,"Check Photometric file",ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-A009-AH-M1,https://files.ledsc4.com/ambience-photo/1/05-A009-AH-M1,,,,,https://files.ledsc4.com/imc/05-A009-AH-M1.html,https://files.ledsc4.com/el/05-A009-AH-M1.html,https://files.ledsc4.com/fm/05-A009-AH-M1.html,https://files.ledsc4.com/pl/05-A009-AH-M1.html,,https://files.ledsc4.com/3d/05-A009-AH-M1.html,https://files.ledsc4.com/ies/05-A009-AH-M1.html,https://files.ledsc4.com/ldt/05-A009-AH-M1.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
05-A010-14-14,V0,Sì,"Superficie a parete",8445386367293,"Lia LED 400mm",Decorative,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/05-A010-14-14.html,"SUPERFICIE A PARETE LIA LED 400MM LED 16.7W 3000K ON-OFF BIANCO 1019LM","LedsC4 Lia LED 400mm 05-A010-14-14  Superficie a parete per uso interno per illuminare frontalmente e verso il basso.  Materiale della struttura: Acciaio. Finitura struttura: Bianco. Materiale del diffusore: Policarbonato. Finitura diffusore: Opal. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 1.01 Larghezza o diametro del prodotto (mm): 400 Altezza del prodotto (mm): 50 Fuoriuscita del prodotto: 80  Classe 2. Prova filo incandescente: 960. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: SEOUL. Potenza massima della sorgente luminosa: 14.4W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 13.1. Rischio fotobiologico: RG1. % de Flickering: &lt;5%. Flusso reale (lm): 1019. Lm/W reali: 61. Intervallo di tensione / frequenza: 220-240V, 50/60Hz. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 16.7. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Acciaio, Policarbonato","Bianco, Opal",,400,50,80,,Sì,F,6,"Descatalogado IT",2023,"1,47","8,82","1,01","0,008","0,048",460,100,130,,,,,,,,,,,,,,,,"16,7",,1019,3000K,80,SPOT,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-A010-14-14,,,,,,https://files.ledsc4.com/imc/05-A010-14-14.html,https://files.ledsc4.com/el/05-A010-14-14.html,https://files.ledsc4.com/fm/05-A010-14-14.html,,,https://files.ledsc4.com/3d/05-A010-14-14.html,https://files.ledsc4.com/ies/05-A010-14-14.html,https://files.ledsc4.com/ldt/05-A010-14-14.html,,RETILAP-DECORATIVE,FX-LED-II,,,,"Lia LED 400mm"
DE-0107-VRD,V0,Sì,"Superficie a soffitto",8445386375274,Pinta,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/DE-0107-VRD.html,"PLAFONIER IP20 PINTA LED 15.2W 4000K ON-OFF VERDE","LedsC4 Pinta DE-0107-VRD  Superficie a soffitto per uso interno per illuminare verso il basso.  Materiale della struttura: Acciaio, Legno. Finitura struttura: Verde. Materiale del diffusore: Polistirolo. Finitura diffusore: OPAL. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.7 Larghezza o diametro del prodotto (mm): 300 Altezza del prodotto (mm): 50  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 15.2W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 36.000h L70B30. Rischio fotobiologico: RG0. Flusso nominale (lm): 1730. Intervallo di tensione / frequenza: 175-265V /  50-60Hz. Voltaggio: 6. Dispositivo incluso: Sì. Potenza totale: 18. Fattore di potenza: 0.50. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Acciaio, Legno, Polistirolo","Verde, OPAL",,300,50,,"1xLED 15.2 1730 lm",Sì,E,20,"Discontinuo_NC IT",2022,"0,92","18,4","0,7","0,007","0,14",320,60,320,,,,,,,,,,,,,,,,18,1730,,4000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0107-VRD,https://files.ledsc4.com/ambience-photo/1/DE-0107-VRD,,,https://files.ledsc4.com/detail-photo/1/DE-0107-VRD,https://files.ledsc4.com/detail-photo/2/DE-0107-VRD,https://files.ledsc4.com/imc/DE-0107-VRD.html,https://files.ledsc4.com/el/DE-0107-VRD.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
AG68-P7W9M2OUWN,V0,Sì,Sospensioni,8445386409481,"Play Deco Pendant",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG68-P7W9M2OUWN.html,"SOSPENSIONI PLAY DECO PENDANT 8.6W 3000K CRI 92 ON-OFF NERO/NERO IP20 636LM","LedsC4 Play Deco Pendant AG68-P7W9M2OUWN  Sospensioni per uso interno per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Nero/Nero. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.86 Larghezza o diametro del prodotto (mm): 72.5 Altezza del prodotto (mm): 1500  Classe 2. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 6.4W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 9.9. Rischio fotobiologico: RG1. Flusso reale (lm): 700. Lm/W reali: 81. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 8.6. Fattore di potenza: NULL. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, PMMA","Nero/Nero, Trasparente",,"72,5",1500,,,Sì,F,1,"Descatalogado IT",2023,"1,03","1,03","0,86","0,006","0,006",130,135,365,,,,,,,,,,,,,,,,"8,6",,700,3000K,92,MEDIUM,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/AG68-P7W9M2OUWN,,,,,,https://files.ledsc4.com/imc/AG68-P7W9M2OUWN.html,https://files.ledsc4.com/el/AG68-P7W9M2OUWN.html,https://files.ledsc4.com/fm/AG68-P7W9M2OUWN.html,,,https://files.ledsc4.com/3d/AG68-P7W9M2OUWN.html,https://files.ledsc4.com/ies/AG68-P7W9M2OUWN.html,https://files.ledsc4.com/ldt/AG68-P7W9M2OUWN.html,,RETILAP-DECORATIVE,FX-LED-II,,,,
PX-0462-ANT,V0,Sì,FarettI,8445386487540,REWOOD,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/PX-0462-ANT.html,"FARETTI IP54 REWOOD LED 14.2W 4000K GRIGIO URBANO 1710","LedsC4 REWOOD PX-0462-ANT  FarettI  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Policarbonato. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 1.14 Larghezza o diametro del prodotto (mm): 65 Altezza del prodotto (mm): 700  Classe 1. IP: IP54. IK: IK10. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 14.2W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 5. Ore di vita: 36.000h L70B30. UGR: 26.7. Rischio fotobiologico: RG0. Flusso reale (lm): 1158. Flusso nominale (lm): 1710. Lm/W reali: 82. Voltaggio: 18. Dispositivo incluso: Sì. Potenza totale: 14.2. Fattore di potenza: 0.65.",9405219090,"Alluminio, Policarbonato","Grigio urbano, Trasparente",,65,700,,"1xLED 14.2 1710 lm",Sì,F,6,"Discontinuo_NC IT",2023,"1,35","8,1","1,14","0,005","0,03",75,75,710,,,,,,,,,,,,,,,,"14,2",1710,1158,4000K,80,"Check Photometric file",,IP54,IK10,https://files.ledsc4.com/main-photo/PX-0462-ANT,,,,,,https://files.ledsc4.com/imc/PX-0462-ANT.html,https://files.ledsc4.com/el/PX-0462-ANT.html,,,,,,,,RETILAP-BALIZA,FX-LED-I,,,,
PX-0469-NEG,V0,Sì,"Superficie a parete",8445386458243,OPALO,Forlight,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/PX-0469-NEG.html,"SUPERFICIE A PARETE IP44 OPALO LED 9.4W 4000K ON-OFF NERO 975","LedsC4 OPALO PX-0469-NEG  Superficie a parete per uso esterno per illuminare frontalmente e verso l&#039;alto.  Materiale della struttura: Alluminio. Finitura struttura: Nero. Materiale del diffusore: Policarbonato. Finitura diffusore: OPAL. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.45 Larghezza o diametro del prodotto (mm): 80 Altezza del prodotto (mm): 120 Fuoriuscita del prodotto: 110  Classe 1. IP: IP44. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 9.4W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 5. Ore di vita: 36.000h L70B30. UGR: 19.7. Rischio fotobiologico: RG0. Flusso reale (lm): 421. Flusso nominale (lm): 975. Lm/W reali: 45. Intervallo di tensione / frequenza: 220-240/50-60Hz. Voltaggio: 18. Dispositivo incluso: Sì. Potenza totale: 9.4. Fattore di potenza: 0.74. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Nero, OPAL",,80,120,110,"1xLED 9.4 975 lm",Sì,E,8,"Discontinuo_NC IT",2023,"0,56","4,48","0,45","0,002","0,016",120,85,125,,,,,,,,,,,,,,,,"9,4",975,421,4000K,80,,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/PX-0469-NEG,https://files.ledsc4.com/ambience-photo/1/PX-0469-NEG,,,https://files.ledsc4.com/detail-photo/1/PX-0469-NEG,https://files.ledsc4.com/detail-photo/2/PX-0469-NEG,https://files.ledsc4.com/imc/PX-0469-NEG.html,https://files.ledsc4.com/el/PX-0469-NEG.html,,,,,,,,RETILAP-APLIQUE,FX-LED-I,,,,
PX-0524-NEG,V0,Sì,FarettI,8445386485706,PIXA,Forlight,"83,05",3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/PX-0524-NEG.html,"FARETTI IP44 PIXA GU10 16W NERO","LedsC4 PIXA PX-0524-NEG  FarettI per uso interno  Sorgente luminosa orientabile. Materiale della struttura: Acciaio inossidabile AISI 202. Finitura struttura: Nero. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Garanzia: 3 Anni.  Peso netto del prodotto (Kg): 1.64 Lunghezza del prodotto (mm): 335 Larghezza o diametro del prodotto (mm): 135 Altezza del prodotto (mm): 810  Classe 1. IP: IP44. IK: IK06. Potenza totale: 16.",9405299090,"Acciaio inossidabile AISI 202, Vetro","Nero, Trasparente",335,135,810,,,No,"NA EPREL",4,"Discontinuo IT",2023,"2,22","8,88","1,64","0,03","0,12",210,145,810,,,,,,,,,,,,,,,,16,,,,,,,IP44,IK06,https://files.ledsc4.com/main-photo/PX-0524-NEG,https://files.ledsc4.com/ambience-photo/1/PX-0524-NEG,,,https://files.ledsc4.com/detail-photo/1/PX-0524-NEG,,https://files.ledsc4.com/imc/PX-0524-NEG.html,,https://files.ledsc4.com/fm/PX-0524-NEG.html,,,,https://files.ledsc4.com/ies/PX-0524-NEG.html,https://files.ledsc4.com/ldt/PX-0524-NEG.html,,RETILAP-BALIZA,FX-INC-I,,,,
PX-0548-NEG,V0,Sì,Proiettori,8445386638522,HUB,DIY,,5,Solar,https://files.ledsc4.com/ft2/it/PX-0548-NEG.html,"PROIETTORI IP65 HUB LED 15W BIANCO FREDDO - 6500K NERO 300","LedsC4 HUB PX-0548-NEG  Proiettori  Materiale della struttura: Tecnopolimero. Finitura struttura: Nero. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.9 Larghezza o diametro del prodotto (mm): 70 Altezza del prodotto (mm): 270 Fuoriuscita del prodotto: 90  Classe 3. IP: IP65. IK: IK07. LED. Nº di portalampada o Leds: 3. Potenza massima della sorgente luminosa: 5W. Temperatura di colore: 6500K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 5. Ore di vita: 36.000h L70B30. Rischio fotobiologico: RG1. Flusso nominale (lm): 300. Voltaggio: 3. Potenza totale: 15.",9405411000,"Tecnopolimero, Vetro","Nero, Trasparente",,70,270,90,"3xLED 5 300 lm",Sì,"NA EPREL",16,"Discontinuo_NC IT",2023,"1,18","18,88","0,9","0,006","0,096",251,180,148,,,,,,,,,,,,,,,,15,300,,"Bianco freddo - 6500K",80,,,IP65,IK07,https://files.ledsc4.com/main-photo/PX-0548-NEG,https://files.ledsc4.com/ambience-photo/1/PX-0548-NEG,,,https://files.ledsc4.com/detail-photo/1/PX-0548-NEG,https://files.ledsc4.com/detail-photo/2/PX-0548-NEG,https://files.ledsc4.com/imc/PX-0548-NEG.html,,,,https://files.ledsc4.com/ft3/it/PX-0548-NEG.html,,,,,RETILAP-SOLAR,FX-LED-II,,,,
PX-0504-ANT,V0,Sì,"Superficie a parete",8445386458182,ELAINE,Forlight,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/PX-0504-ANT.html,"SUPERFICIE A PARETE IP54 ELAINE E27 15W GRIGIO URBANO","LedsC4 ELAINE PX-0504-ANT  Superficie a parete  Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Policarbonato. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 1.25 Larghezza o diametro del prodotto (mm): 175 Altezza del prodotto (mm): 350 Fuoriuscita del prodotto: 200  Classe 1. IP: IP54. IK: IK10. Dispositivo incluso: No. Potenza totale: 15. Fattore di potenza: NULL.",9405199090,"Alluminio, Policarbonato","Grigio urbano, Trasparente",,175,350,200,,No,"NA EPREL",4,"Descatalogado IT",2023,"1,68","6,72","1,25","0,021","0,084",220,185,420,,,,,,,,,,,,,,,,15,,,,,,,IP54,IK10,https://files.ledsc4.com/main-photo/PX-0504-ANT,https://files.ledsc4.com/ambience-photo/1/PX-0504-ANT,,,,,https://files.ledsc4.com/imc/PX-0504-ANT.html,,,,,,,,,RETILAP-APLIQUE,FX-INC-I,,,,
PX-0506-ANT,V0,Sì,FarettI,8445386458052,MUNIC,DIY,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/PX-0506-ANT.html,"FARETTI IP54 MUNIC E27 15W GRIGIO URBANO","LedsC4 MUNIC PX-0506-ANT  FarettI  Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Policarbonato. Finitura diffusore: Semi trasparente. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 1.6 Lunghezza del prodotto (mm): 130 Larghezza o diametro del prodotto (mm): 130 Altezza del prodotto (mm): 800  Classe 1. IP: IP54. IK: IK10. Potenza totale: 15.",9405299090,"Alluminio, Policarbonato","Grigio urbano, Semi trasparente",130,130,800,,,No,"NA EPREL",4,"Discontinuo_NC IT",2023,"2,1","8,4","1,6","0,019","0,076",140,140,814,,,,,,,,,,,,,,,,15,,,,,,,IP54,IK10,https://files.ledsc4.com/main-photo/PX-0506-ANT,https://files.ledsc4.com/ambience-photo/1/PX-0506-ANT,,,,,https://files.ledsc4.com/imc/PX-0506-ANT.html,,,,,,,,,RETILAP-BALIZA,FX-INC-I,,,,
PX-0552-ANT,V0,Sì,"Superficie a parete",8445386483993,PALE,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/PX-0552-ANT.html,"SUPERFICIE A PARETE IP54 PALE LED 10.5W 4000K ON-OFF GRIGIO URBANO 1200","LedsC4 PALE PX-0552-ANT  Superficie a parete  Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Policarbonato. Finitura diffusore: Bianco opalino. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.2 Larghezza o diametro del prodotto (mm): 83 Altezza del prodotto (mm): 110 Fuoriuscita del prodotto: 35  Classe 1. IP: IP54. IK: IK07. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 9.5W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 36.000h L70B30. Rischio fotobiologico: RG0. Flusso nominale (lm): 1200. Intervallo di tensione / frequenza: 220-240/50-60Hz. Voltaggio: 18. Dispositivo incluso: No. Potenza totale: 10.5. Fattore di potenza: 0.70. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Grigio urbano, Bianco opalino",,83,110,35,"1xLED 9.5 1200 lm",Sì,E,20,"Discontinuo_NC IT",2023,"0,26","5,2","0,2","0,001","0,02",100,45,120,,,,,,,,,,,,,,,,"10,5",1200,,4000K,80,,ON-OFF,IP54,IK07,https://files.ledsc4.com/main-photo/PX-0552-ANT,https://files.ledsc4.com/ambience-photo/1/PX-0552-ANT,,,https://files.ledsc4.com/detail-photo/1/PX-0552-ANT,https://files.ledsc4.com/detail-photo/2/PX-0552-ANT,https://files.ledsc4.com/imc/PX-0552-ANT.html,https://files.ledsc4.com/el/PX-0552-ANT.html,,,,,,,,RETILAP-APLIQUE,FX-LED-I,,,,
PX-0553-ANT,V0,Sì,"Superficie a parete",8445386484006,PALE,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/PX-0553-ANT.html,"SUPERFICIE A PARETE IP54 PALE LED 21W 4000K ON-OFF GRIGIO URBANO 2400","LedsC4 PALE PX-0553-ANT  Superficie a parete  Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Policarbonato. Finitura diffusore: Bianco opalino. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.34 Larghezza o diametro del prodotto (mm): 140 Altezza del prodotto (mm): 110 Fuoriuscita del prodotto: 35  Classe 1. IP: IP54. IK: IK07. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 19.5W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 36.000h L70B30. Rischio fotobiologico: RG0. Flusso nominale (lm): 2400. Intervallo di tensione / frequenza: 220-240/50-60Hz. Voltaggio: 18. Dispositivo incluso: No. Potenza totale: 21. Fattore di potenza: 0.70. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Policarbonato","Grigio urbano, Bianco opalino",,140,110,35,"1xLED 19.5 2400 lm",Sì,E,20,"Discontinuo_NC IT",2023,"0,41","8,2","0,34","0,001","0,02",170,50,110,,,,,,,,,,,,,,,,21,2400,,4000K,80,,ON-OFF,IP54,IK07,https://files.ledsc4.com/main-photo/PX-0553-ANT,,,,https://files.ledsc4.com/detail-photo/1/PX-0553-ANT,https://files.ledsc4.com/detail-photo/2/PX-0553-ANT,https://files.ledsc4.com/imc/PX-0553-ANT.html,https://files.ledsc4.com/el/PX-0553-ANT.html,,,,,,,,RETILAP-APLIQUE,FX-LED-I,,,,
PX-0555-ANT,V0,Sì,Lampioni,8445386487564,PALE,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/PX-0555-ANT.html,"LAMPIONI IP54 PALE LED 21W 4000K ON-OFF GRIGIO URBANO 2400","LedsC4 PALE PX-0555-ANT  Lampioni  Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Policarbonato. Finitura diffusore: Bianco opalino. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.86 Larghezza o diametro del prodotto (mm): 80 Altezza del prodotto (mm): 700 Fuoriuscita del prodotto: 230  Classe 1. IP: IP54. IK: IK07. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 19.5W. Temperatura di colore: 4000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 36.000h L70B30. Rischio fotobiologico: RG0. Flusso nominale (lm): 2400. Intervallo di tensione / frequenza: 220-240/50-60Hz. Voltaggio: 18. Dispositivo incluso: No. Potenza totale: 21. Fattore di potenza: 0.70. Dispositivo regolabile incluso: ON-OFF.",9405219090,"Alluminio, Policarbonato","Grigio urbano, Bianco opalino",,80,700,230,"1xLED 19.5 2400 lm",Sì,E,6,"Discontinuo_NC IT",2023,"1,25","7,5","0,86","0,017","0,102",280,85,710,,,,,,,,,,,,,,,,21,2400,,4000K,80,,ON-OFF,IP54,IK07,https://files.ledsc4.com/main-photo/PX-0555-ANT,https://files.ledsc4.com/ambience-photo/1/PX-0555-ANT,,,https://files.ledsc4.com/detail-photo/1/PX-0555-ANT,https://files.ledsc4.com/detail-photo/2/PX-0555-ANT,https://files.ledsc4.com/imc/PX-0555-ANT.html,https://files.ledsc4.com/el/PX-0555-ANT.html,,,,,,,,RETILAP-BALIZA,FX-LED-I,,,,
PX-0544-ANT,V0,Sì,"Superficie a parete",8445386638331,BRIT,Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/PX-0544-ANT.html,"SUPERFICIE A PARETE IP54 BRIT LED 7.1W 3000K GRIGIO URBANO 855","LedsC4 BRIT PX-0544-ANT  Superficie a parete per uso esterno  Materiale della struttura: Alluminio. Finitura struttura: Grigio urbano. Materiale del diffusore: Policarbonato. Finitura diffusore: Trasparente. Protezione contro i raggi ultravioletti. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.46 Larghezza o diametro del prodotto (mm): 65 Altezza del prodotto (mm): 190 Fuoriuscita del prodotto: 95  Classe 1. IP: IP54. IK: IK10. LED. Nº di portalampada o Leds: 1. Potenza massima della sorgente luminosa: 7.1W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 5. Ore di vita: 36.000h L70B30. UGR: 26.7. Rischio fotobiologico: RG0. Flusso reale (lm): 579. Flusso nominale (lm): 855. Lm/W reali: 82. Voltaggio: 18. Dispositivo incluso: Sì. Potenza totale: 7.1. Fattore di potenza: 0.65.",9405119090,"Alluminio, Policarbonato","Grigio urbano, Trasparente",,65,190,95,"1xLED 7.1 855 lm",Sì,E,9,"Descatalogado IT",2023,"0,56","5,04","0,46","0,003","0,027",105,80,200,,,,,,,,,,,,,,,,"7,1",855,579,3000K,80,"Check Photometric file",,IP54,IK10,https://files.ledsc4.com/main-photo/PX-0544-ANT,https://files.ledsc4.com/ambience-photo/1/PX-0544-ANT,https://files.ledsc4.com/ambience-photo/2/PX-0544-ANT,,https://files.ledsc4.com/detail-photo/1/PX-0544-ANT,https://files.ledsc4.com/detail-photo/2/PX-0544-ANT,https://files.ledsc4.com/imc/PX-0544-ANT.html,https://files.ledsc4.com/el/PX-0544-ANT.html,https://files.ledsc4.com/fm/PX-0544-ANT.html,,,,https://files.ledsc4.com/ies/PX-0544-ANT.html,https://files.ledsc4.com/ldt/PX-0544-ANT.html,,RETILAP-APLIQUE,FX-LED-I,,,,
